SPX Index;;;S5SFTW Index;;;S5PHRM Index;;;S5CPGS Index;;;S5ENRSX Index;;;S5FDBT Index;;;S5TECH Index;;;S5RETL Index;;;S5BANKX Index;;;S5HCES Index;;;S5DIVF Index;;;S5UTILX Index;;;S5MEDA Index;;;S5REAL Index;;;S5TELSX Index;;;S5MATRX Index;;;S5INSU Index;;;S5FDSR Index;;;S5HOUS Index;;;S5SSEQX Index;;;S5TRAN Index;;;S5HOTR Index;;;S5CODU Index;;;S5AUCO Index;;;S5COMS Index;
Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST
25/09/1989;344,23;;25/09/1989;51,29;;25/09/1989;63,49;;25/09/1989;68,23;;25/09/1989;82,27;;25/09/1989;57,95;;25/09/1989;77,09;;25/09/1989;66,2;;25/09/1989;89,06;;25/09/1989;76,15;;25/09/1989;69,1142;;25/09/1989;95,51;;25/09/1989;80,82;;25/09/1989;#N/A N/A;;25/09/1989;90,93;;25/09/1989;78,32;;25/09/1989;76,65;;25/09/1989;72,06;;25/09/1989;48,77;;25/09/1989;28,05;;25/09/1989;88,05;;25/09/1989;71,41;;25/09/1989;77,35;;25/09/1989;85,75;;25/09/1989;94,63
26/09/1989;344,33;;26/09/1989;51,03;;26/09/1989;63,38;;26/09/1989;68,25;;26/09/1989;81,64;;26/09/1989;58,19;;26/09/1989;77,45;;26/09/1989;66,51;;26/09/1989;88,97;;26/09/1989;76,01;;26/09/1989;68,9865;;26/09/1989;95,44;;26/09/1989;81,39;;26/09/1989;#N/A N/A;;26/09/1989;91,01;;26/09/1989;78,05;;26/09/1989;77,28;;26/09/1989;72,28;;26/09/1989;48,69;;26/09/1989;28,24;;26/09/1989;87,45;;26/09/1989;71,58;;26/09/1989;77,32;;26/09/1989;86,6;;26/09/1989;94,75
27/09/1989;345,1;;27/09/1989;51,29;;27/09/1989;64,51;;27/09/1989;68,46;;27/09/1989;81,69;;27/09/1989;58,74;;27/09/1989;75,28;;27/09/1989;66,93;;27/09/1989;89,44;;27/09/1989;76,29;;27/09/1989;69,3624;;27/09/1989;95,28;;27/09/1989;81,53;;27/09/1989;#N/A N/A;;27/09/1989;91,28;;27/09/1989;78,15;;27/09/1989;77,78;;27/09/1989;72,4;;27/09/1989;48,6;;27/09/1989;28,06;;27/09/1989;87,51;;27/09/1989;71,85;;27/09/1989;77,65;;27/09/1989;86,22;;27/09/1989;96,55
28/09/1989;348,6;;28/09/1989;52,28;;28/09/1989;65,97;;28/09/1989;68,95;;28/09/1989;82,13;;28/09/1989;60,26;;28/09/1989;74,32;;28/09/1989;67,65;;28/09/1989;91,46;;28/09/1989;77,32;;28/09/1989;69,6213;;28/09/1989;95,73;;28/09/1989;82,15;;28/09/1989;#N/A N/A;;28/09/1989;92,26;;28/09/1989;78,55;;28/09/1989;78,84;;28/09/1989;73,47;;28/09/1989;49,35;;28/09/1989;28,29;;28/09/1989;88,69;;28/09/1989;72,94;;28/09/1989;78,31;;28/09/1989;86,33;;28/09/1989;98,86
29/09/1989;349,15;;29/09/1989;52,2;;29/09/1989;65,97;;29/09/1989;68,87;;29/09/1989;82,42;;29/09/1989;60,52;;29/09/1989;74,29;;29/09/1989;67,52;;29/09/1989;92,05;;29/09/1989;77,54;;29/09/1989;69,9496;;29/09/1989;95,71;;29/09/1989;82,19;;29/09/1989;#N/A N/A;;29/09/1989;92,56;;29/09/1989;78,8;;29/09/1989;80,34;;29/09/1989;73,61;;29/09/1989;49,22;;29/09/1989;28,3;;29/09/1989;89,27;;29/09/1989;72,39;;29/09/1989;78,07;;29/09/1989;85,26;;29/09/1989;98,48
02/10/1989;350,87;;02/10/1989;52,29;;02/10/1989;65,89;;02/10/1989;69,39;;02/10/1989;83,04;;02/10/1989;60,69;;02/10/1989;73,97;;02/10/1989;67,73;;02/10/1989;92,3;;02/10/1989;78,67;;02/10/1989;70,7756;;02/10/1989;95,88;;02/10/1989;82,98;;02/10/1989;#N/A N/A;;02/10/1989;92,65;;02/10/1989;79,52;;02/10/1989;81,27;;02/10/1989;73,98;;02/10/1989;49,55;;02/10/1989;28,2;;02/10/1989;89,8;;02/10/1989;72,31;;02/10/1989;79,37;;02/10/1989;85,97;;02/10/1989;98,93
03/10/1989;354,71;;03/10/1989;53,17;;03/10/1989;67;;03/10/1989;70,25;;03/10/1989;83,92;;03/10/1989;61,68;;03/10/1989;72,73;;03/10/1989;68,73;;03/10/1989;92,94;;03/10/1989;80;;03/10/1989;73,1001;;03/10/1989;96,29;;03/10/1989;83,75;;03/10/1989;#N/A N/A;;03/10/1989;93,79;;03/10/1989;80,44;;03/10/1989;82,9;;03/10/1989;74,91;;03/10/1989;50,54;;03/10/1989;27,97;;03/10/1989;90,52;;03/10/1989;73,19;;03/10/1989;79,4;;03/10/1989;87,76;;03/10/1989;99,65
04/10/1989;356,94;;04/10/1989;53,33;;04/10/1989;67,58;;04/10/1989;70,53;;04/10/1989;84,44;;04/10/1989;62,03;;04/10/1989;74,04;;04/10/1989;68,97;;04/10/1989;93,69;;04/10/1989;80,85;;04/10/1989;73,4826;;04/10/1989;96,23;;04/10/1989;84,43;;04/10/1989;#N/A N/A;;04/10/1989;94,68;;04/10/1989;80,72;;04/10/1989;82,97;;04/10/1989;75,79;;04/10/1989;51,15;;04/10/1989;28,49;;04/10/1989;91,02;;04/10/1989;72,69;;04/10/1989;79,9;;04/10/1989;88,1;;04/10/1989;100,28
05/10/1989;356,97;;05/10/1989;53,48;;05/10/1989;67,62;;05/10/1989;70,42;;05/10/1989;84,48;;05/10/1989;62,19;;05/10/1989;74,37;;05/10/1989;69,07;;05/10/1989;93,27;;05/10/1989;81,22;;05/10/1989;73,4084;;05/10/1989;96,25;;05/10/1989;83,95;;05/10/1989;#N/A N/A;;05/10/1989;94,67;;05/10/1989;80,25;;05/10/1989;82,93;;05/10/1989;75,76;;05/10/1989;51,16;;05/10/1989;28,84;;05/10/1989;92,96;;05/10/1989;73,43;;05/10/1989;79,48;;05/10/1989;88,22;;05/10/1989;100,21
